 FILE   DATE  TIME    ZA    RELAZ    SOLDEP  INT   ISC  RMIN  RMED  RMAX
T53F09 101085 2301   13.62   58.06   52.81   2.8   2.5   2.6   1.4   1.0
T53F08 101085 2246   12.98   87.03   51.83   3.3   3.0   3.0   1.6   1.1
T53F07 101085 2230   15.11  113.98   50.51   3.1   2.8   2.6   1.4   1.0
T53F06 101085 2215   18.80  133.51   49.04   2.6   2.3   1.9   1.0   0.7
T53F05 101085 2159   23.66  147.06   47.25   2.9   2.6   1.9   1.0   0.8
T53F04 101085 2129   26.36 -116.97   43.37   3.6   3.2   1.8   1.0   0.8
T52F53 101085 2047   26.95 -139.29   37.08   4.3   3.9   1.7   1.0   0.8
T52F52 101085 2034   25.78 -121.75   34.98   5.4   4.8   1.9   1.2   1.0
T52F51 101085 2022   25.71 -114.70   32.99   5.8   5.2   1.9   1.2   1.0
T52F48 101085 1946   25.19 -165.94   26.81   6.7   6.0   1.8   1.1   1.0
T52F46 101085 1922   22.74 -155.10   22.55   9.0   8.1   2.1   1.4   1.3
T52F41  92085  226   10.83 -137.08   33.87   6.1   5.2   2.4   1.4   1.2
T52F40  92085  212    8.33 -100.96   35.74   4.9   4.2   2.2   1.3   1.0
T52F39  92085  156    7.74  -68.50   37.75   4.9   4.1   2.3   1.4   1.1
T52F38  92085  141    9.24  -40.87   39.47   5.0   4.2   2.6   1.5   1.1
T52F37  92085  127   11.86  -23.56   40.93   4.1   3.5   2.2   1.3   1.0
T52F36  92085  113   14.92  -12.12   42.23   4.3   3.6   2.3   1.3   1.0
T52F22  91685  231    8.87 -139.07   32.08   6.4   5.5   2.4   1.4   1.2
T52F15  91685    7   12.28  141.42   44.26   3.7   3.1   2.3   1.2   0.9
T52F14  91585 2349    7.93   92.04   44.38   3.9   3.3   2.5   1.4   1.0
T52F13  91585 2332   10.72   68.56   44.15   4.1   3.5   2.6   1.4   1.1
T52F12  91585 2314   14.01   68.12   43.57   4.2   3.6   2.5   1.4   1.0
T50F50  72285  221   11.65   38.46   19.31  10.6   7.7   1.9   1.3   1.2
T50F26  71685 2148    9.89   54.92   18.67   8.7   7.4   1.7   1.2   1.1
T49F50  21385  202   12.75  -62.93   52.00   2.9   2.5   2.5   1.3   0.9
T49F39  21285 2300    6.78   19.20   56.65   6.9   5.7   7.4   4.0   2.7
T49F38  21285 2245   11.59   42.46   55.05   2.9   2.4   2.7   1.4   1.0
T49F30  12685  107   15.82  -68.28   62.90   2.5   2.3   3.3   1.7   1.2
