 FILE   DATE  TIME    ZA    RELAZ    SOLDEP  INT   ISC  RMIN  RMED  RMAX
T03F43 101777  135    3.77 -131.97   48.30   2.1   1.8   1.7   0.9   0.7
T03F42 101777  119   11.79 -123.35   50.25   1.9   1.6   1.5   0.8   0.6
T03F41 101777  103   10.46 -147.62   51.98   1.8   1.5   1.5   0.8   0.6
T03F40 101777   40    8.20  121.57   54.01   1.6   1.4   1.6   0.8   0.6
T03F39 101777   24    9.48  107.66   55.07   1.7   1.4   1.7   0.9   0.6
T03F38 101777    8   11.03   95.23   55.81   1.7   1.4   1.6   0.9   0.6
T03F37 101677 2352   13.54   92.46   56.20   1.8   1.5   1.7   0.9   0.6
T03F36 101677 2333   16.48  112.71   56.19   2.4   2.0   2.2   1.2   0.8
T03F35 101677 2317   18.85  111.80   55.79   1.5   1.3   1.4   0.7   0.5
T03F34 101677 2301   21.00  109.64   55.04   1.7   1.4   1.4   0.7   0.5
T03F33 101677 2245   23.62  111.08   53.97   1.9   1.6   1.5   0.8   0.6
T03F32 101677 2229   25.84  125.48   52.60   1.9   1.6   1.3   0.7   0.5
T03F31 101677 2212   28.54  126.53   50.86   2.1   1.8   1.4   0.7   0.6
T03F23 101477  305   27.19 -103.74   33.93   4.8   4.2   1.6   1.0   0.8
T03F22 101477  250   27.59  -98.97   36.41   3.7   3.2   1.4   0.8   0.7
T03F21 101477  235   27.75  -94.94   38.83   3.9   3.4   1.6   0.9   0.8
T03F20 101477  216   14.81  177.26   41.76   2.9   2.5   1.6   0.9   0.7
T03F19 101477  201   11.99  174.00   43.95   2.5   2.2   1.6   0.9   0.7
T03F18 101477  145    8.44  170.17   46.15   2.3   2.0   1.6   0.9   0.7
T03F17 101477  129    6.19  155.08   48.17   2.0   1.7   1.6   0.9   0.6
T03F16 101477  113    5.15  127.81   50.00   1.9   1.6   1.6   0.9   0.6
T03F15 101477   56    6.06   98.86   51.69   2.0   1.7   1.8   1.0   0.7
T03F14 101477   40    8.11   84.20   53.01   2.0   1.7   1.9   1.0   0.7
T03F13 101477   24   10.43   73.13   54.03   2.0   1.7   1.9   1.0   0.7
T03F12 101477    8   13.23   72.98   54.74   2.0   1.7   1.9   1.0   0.7
T03F11 101377 2341   14.19  131.28   55.15   1.9   1.6   1.8   0.9   0.7
T03F10 101377 2324   16.09  126.44   54.89   2.0   1.7   1.8   1.0   0.7
T03F09 101377 2308   17.69  121.13   54.29   2.0   1.7   1.7   0.9   0.6
T03F08 101377 2252   20.10  120.33   53.36   2.0   1.7   1.6   0.9   0.6
T03F07 101377 2236   22.62  120.55   52.14   2.3   1.9   1.7   0.9   0.6
T03F06 101377 2219   25.38  121.57   50.53   2.1   1.8   1.4   0.8   0.6
T03F05 101377 2203   27.98  122.69   48.77   2.7   2.3   1.6   0.9   0.7
T02F78 101377  322   24.15 -169.43   30.80   4.9   4.2   1.5   0.9   0.8
T02F77 101377  306   22.34 -168.52   33.52   3.9   3.4   1.4   0.8   0.7
T02F76 101377  251   21.80 -165.96   36.01   3.6   3.1   1.4   0.8   0.7
T02F75 101377  235   19.07 -174.16   38.58   3.3   2.8   1.5   0.9   0.7
T02F74 101377  219   15.83 -174.45   41.05   3.3   2.8   1.7   1.0   0.7
T02F73 101377  201   12.38 -176.63   43.68   2.5   2.2   1.6   0.9   0.6
T02F72 101377  145    9.41  179.01   45.86   2.5   2.1   1.7   0.9   0.7
T02F71 101377  130    6.87  169.93   47.75   2.5   2.1   1.9   1.0   0.7
T02F70 101377  114    3.59   85.66   49.58   2.6   2.3   2.4   1.3   0.9
T02F69 101377   58    5.26   79.34   51.18   2.3   2.0   2.1   1.2   0.8
T02F68 101377   42    7.02   78.85   52.52   2.3   2.0   2.2   1.2   0.8
T02F67 101377   26    7.75   83.31   53.57   2.3   2.0   2.2   1.2   0.8
T02F66 101377   10   12.40   92.04   54.30   2.1   1.8   2.0   1.1   0.7
T02F65 101277 2354   14.95   90.25   54.70   2.2   1.9   2.0   1.1   0.8
T02F64 101277 2326   19.81   94.05   54.56   2.3   2.0   2.0   1.1   0.8
T02F63 101277 2310   22.49   96.11   54.01   2.0   1.7   1.6   0.9   0.6
T02F62 101277 2253   25.35   98.95   53.06   1.8   1.5   1.3   0.7   0.5
T02F61 101277 2237   25.35  117.36   51.85   1.9   1.6   1.3   0.7   0.5
T02F60 101277 2221   28.67  122.55   50.37   2.1   1.8   1.3   0.7   0.5
T02F57 101077   47    9.32  137.63   51.12   3.0   2.5   2.5   1.4   1.0
T02F56 101077   15   13.34  121.80   53.03   1.7   1.5   1.6   0.8   0.6
T02F55 100977 2359   16.26  107.02   53.51   1.7   1.4   1.4   0.8   0.5
T02F54 100977 2343   17.97  109.83   53.64   1.6   1.4   1.4   0.7   0.5
T02F53 100977 2327   19.72  113.18   53.44   1.8   1.5   1.5   0.8   0.5
T02F52 100977 2312   21.32  116.69   52.95   2.2   1.9   1.8   0.9   0.7
T02F51 100977 2256   23.12  120.43   52.11   2.2   1.9   1.6   0.9   0.6
T02F50 100977 2240   24.93  124.16   50.97   1.6   1.4   1.1   0.6   0.4
T02F49 100777   59    2.36   59.11   49.12   3.0   2.6   2.6   1.4   1.0
T02F48 100777   42    5.60   74.71   50.46   2.4   2.1   2.2   1.2   0.8
T02F47 100777   25    9.28   88.54   51.49   2.4   2.1   2.1   1.2   0.8
T02F46 100777    8   12.70   93.43   52.17   2.4   2.1   2.1   1.1   0.8
T02F45 100677 2348   16.81   87.81   52.50   2.5   2.2   2.1   1.1   0.8
T02F44 100677 2321   20.66   95.71   52.12   2.8   2.4   2.2   1.2   0.8
T02F43 100677 2303   22.86  101.26   51.35   2.2   1.9   1.6   0.9   0.6
T02F42 100677 2245   25.05  106.61   50.20   2.7   2.3   1.8   1.0   0.7
T02F41 100677 2226   27.41  111.90   48.61   2.8   2.4   1.7   0.9   0.7
T03F79 110477 2351   20.37  142.44   62.60   1.6   1.3   1.7   0.9   0.6
T03F78 110477 2338   23.33  140.32   62.68   1.6   1.3   1.6   0.9   0.6
T04F09  81377  144   11.87 -133.08   27.80   7.0   6.2   2.2   1.4   1.2
T04F08  81377  128    3.50 -113.28   29.08   6.9   6.1   2.4   1.5   1.2
T04F07  81377  111    8.07  163.65   30.23   5.7   5.0   2.0   1.2   1.0
T04F06  81377   56    8.07  101.81   31.04   5.6   5.0   2.1   1.3   1.0
T04F05  81377   41    5.06  130.92   31.66   6.5   5.8   2.5   1.5   1.3
T04F04  81377   24    9.42  105.46   32.13   7.0   6.2   2.7   1.6   1.3
T04F41 101377 2116   19.37  102.07   42.51   3.9   3.4   2.1   1.2   0.9
T04F40 101377 2103   22.74  113.76   40.55   4.1   3.6   2.0   1.1   0.9
T04F39 101377 2050   22.71  122.46   38.52   4.2   3.7   1.9   1.1   0.9
T04F38 101377 2037   23.08  131.22   36.42   3.7   3.2   1.5   0.9   0.7
T04F36 101377 2010   25.36  132.97   31.89   5.4   4.7   1.7   1.0   0.9
T04F35 101377 1957   29.11  130.61   29.64   5.8   5.0   1.6   1.0   0.9
T04F34 101277 2131   14.85  107.20   44.32   3.6   3.2   2.3   1.3   0.9
T04F33 101277 2117   19.52   88.75   42.32   3.6   3.2   2.0   1.1   0.9
T04F32 101277 2104   20.23  100.47   40.37   3.3   2.9   1.7   0.9   0.7
T04F31 101277 2050   21.66  111.58   38.19   4.3   3.8   1.9   1.1   0.9
T04F30 101277 2037   17.56  121.12   36.10   4.7   4.1   2.0   1.2   0.9
T04F28 101277 2010   26.35  128.05   31.26   4.8   4.2   1.5   0.9   0.8
T29F22 121881   12    0.06    0.00   70.06   2.5   2.2   5.3   2.8   2.0
T29F17 121781 2216   11.04  -15.24   61.90   2.3   2.0   3.0   1.6   1.1
T29F16 121781 2201   10.52   -9.42   59.62   4.0   3.6   5.0   2.7   1.8
T29F15 121781 2146    6.81    2.62   57.21   3.1   2.8   3.7   2.0   1.4
T29F14 121781 2123    3.60   37.04   53.35   2.7   2.4   2.8   1.5   1.1
T29F13 121781 2108    3.33   48.21   50.74   3.1   2.8   3.0   1.6   1.2
T28F51 112981 2008    0.84    0.00   40.30   5.7   4.9   3.5   2.0   1.5
T28F27 102881  308    0.70    0.00   36.59   5.3   4.8   2.7   1.6   1.2
T28F12 102781 2108    0.76    0.00   45.55   3.8   3.4   3.0   1.7   1.2
T28F07 102781 2005    0.77    0.00   34.95   5.5   5.0   2.8   1.7   1.3
T27F51 102781  335    0.78    0.00   31.61   5.7   4.9   2.2   1.4   1.1
T27F45 102681 2111    0.75    0.00   45.74   4.1   3.5   3.1   1.8   1.3
T27F37 100781  344   27.60 -157.28   25.64   6.4   5.7   1.6   1.0   0.9
T27F36 100781  326   24.31 -156.26   28.75   6.1   5.5   1.8   1.1   1.0
T27F18 100381  327    0.58    0.00   27.66   5.8   5.2   1.9   1.2   1.0
T27F13 100381  212    0.67    0.00   39.39   6.1   5.5   3.7   2.1   1.6
T27F08 100281 2115    0.81    0.00   38.53   5.2   4.7   3.1   1.8   1.4
T26F49  92881  255   12.24 -157.45   31.67   6.1   5.5   2.3   1.4   1.1
T26F48  92881  236    8.91 -156.48   34.57   5.4   4.9   2.3   1.4   1.1
T26F47  92881  217    6.18  168.71   37.31   5.0   4.5   2.5   1.5   1.1
T26F46  92881  156    4.46  135.72   40.10   4.5   4.1   2.7   1.5   1.2
T26F45  92881  137    5.18  100.07   42.38   4.7   4.2   3.0   1.7   1.3
T26F44  92881  118    7.47   82.21   44.39   4.2   3.8   2.9   1.6   1.2
T26F34  92781 2116   30.01  -99.74   36.85   5.7   5.1   2.1   1.3   1.1
T26F33  92781 2059   28.63 -103.38   34.38   5.6   5.0   1.9   1.2   1.0
T26F29  92781   53   10.61   83.74   46.20   3.5   3.1   2.5   1.4   1.0
T26F28  92781   34   14.19   85.24   47.41   3.5   3.1   2.5   1.4   1.0
T26F27  92781   14   19.66   81.63   48.25   3.2   2.9   2.3   1.2   0.9
T26F26  92681 2353   25.37   81.79   48.63   3.5   3.2   2.4   1.3   1.0
T26F07  90981  321    0.77    0.00   22.93   8.3   7.3   2.2   1.4   1.3
T25F40  82181  201    1.21    0.00   28.12   3.7   3.3   1.3   0.8   0.7
T25F28  81881 2117    1.50    0.00   22.50   7.5   6.5   2.2   1.5   1.3
T25F10  80681 2215   29.07 -129.73   32.39   8.7   7.8   2.7   1.7   1.5
T25F09  80681 2159   28.34 -133.45   30.75   9.4   8.4   2.8   1.7   1.5
T25F05  80181  204    0.96    0.00   23.02   9.4   8.2   2.4   1.6   1.4
T24F52  73181 2237    0.24    0.00   25.83   7.7   6.9   2.7   1.7   1.5
T23F41  30281 2125   18.88   -7.48   39.02   3.8   3.4   1.9   1.1   0.8
T23F39  30281 2048   22.51    0.44   33.08   4.7   4.2   1.7   1.0   0.8
T23F38  30281 2033   17.05    5.26   30.55   4.7   4.2   1.6   1.0   0.8
T23F37  30281 2017   12.84   12.58   27.79   4.7   4.2   1.5   0.9   0.8
T23F36  30281 1958    8.78   26.82   24.45   4.9   4.4   1.3   0.9   0.8
T23F25  22481 2231   28.18 -165.41   49.81   2.5   2.2   1.6   0.9   0.7
T23F17  22481 1950   22.91  -73.22   24.40   5.9   5.3   1.5   1.0   0.9
T23F16  20581  224   22.69   79.55   50.87   4.1   3.7   3.1   1.7   1.2
T23F15  20581  206   25.15   77.06   53.53   3.9   3.5   3.0   1.7   1.2
T23F14  20581  149   27.71   76.40   55.85   3.6   3.2   3.0   1.6   1.1
T23F13  20581  111   26.42  -35.24   60.10   3.7   3.3   3.7   1.9   1.3
T23F12  20581   55   27.23  -24.46   61.39   3.4   3.0   3.4   1.8   1.2
T23F11  20581   36   28.21  -11.59   62.45   3.2   2.8   3.2   1.7   1.2
T23F10  20581   17   27.41    1.93   62.94   3.4   2.9   3.4   1.8   1.2
T23F09  20581    0   26.81   14.61   62.87   3.5   3.0   3.6   1.9   1.3
T23F08  20481 2340   28.38   27.63   62.17   3.2   2.8   3.2   1.7   1.2
T22F41  20281 2019   15.11 -128.97   34.48   5.4   4.9   2.2   1.3   1.1
T22F40  20281 2002   16.92 -137.57   31.40   6.0   5.4   2.1   1.3   1.1
T22F36  13081 2203   26.34   94.73   52.82   3.7   3.3   2.7   1.5   1.1
T22F29  12981   41   28.44  -11.78   64.14   3.6   3.1   3.7   1.9   1.4
T22F28  12981    4   28.50   15.47   64.94   3.6   3.1   3.8   2.0   1.4
T22F20  12881 2057   13.86 -120.23   42.32   3.9   3.5   2.3   1.3   1.0
T22F18  11081  219   27.01   84.20   55.11   6.5   5.8   5.3   2.9   2.0
T22F17  11081  202   28.84   81.69   57.84   5.0   4.5   4.4   2.4   1.7
T37F18 122182   27   27.54  169.19   69.39   2.6   2.1   3.1   1.6   1.1
T37F16 122082 2355   22.63  171.96   70.48   2.8   2.3   3.8   2.0   1.3
T37F10 122082 2203   28.61  175.76   59.76   1.2   1.0   1.1   0.6   0.4
T36F39 111882  111   20.29   96.89   59.75   1.2   1.0   1.2   0.6   0.4
T35F31  92382  434   18.12  113.30   13.74  12.7  11.4   2.1   1.6   1.6
T35F30  92382  419   18.64  105.06   16.39  10.7   9.6   2.0   1.4   1.4
T35F29  92382  404   17.95   96.75   19.01   9.1   8.2   1.9   1.3   1.2
