2.2846898 7.464122 51.10224 21.44733 -0.88311 31/01/06 05:20:33 13.95820       60 5235.599 5027.782
2.1051195 7.464515 51.10150 19.95346 -0.52172 31/01/06 05:42:11 13.98175       60 5816.458 5625.366
2.0812994 7.464274 51.10202 19.89065 -0.50167 31/01/06 05:43:23 13.98284       60 5847.464 5657.017
2.0741961 7.464125 51.10174 19.83093 -0.48191 31/01/06 05:44:33 13.98391       60 5878.093 5688.253
2.0599543 7.464019 51.10107 19.77264 -0.46186 31/01/06 05:45:46 13.98607       60 5909.126 5719.871
2.0719023 7.464187 51.10223 19.71590 -0.44154 31/01/06 05:46:59 13.98716       60 5940.623 5751.874
2.0349075 7.464362 51.10149 19.66229 -0.42149 31/01/06 05:48:10 13.98824       60 5971.741 5783.486
2.0074425 7.464314 51.10163 19.61172 -0.40172 31/01/06 05:49:22 13.98932       60 6002.004 5814.203
2.0121001 7.464298 51.10168 19.56212 -0.38140 31/01/06 05:50:35 13.99040       60 6033.047 5845.672
2.0052744 7.464187 51.10231 19.51561 -0.36135 31/01/06 05:51:47 13.99258       60 6063.393 5876.397
1.9906778 7.464144 51.10174 19.47210 -0.34158 31/01/06 05:52:57 13.99366       60 6093.373 5906.730
1.9935280 7.464237 51.10082 19.42982 -0.32126 31/01/06 05:54:11 13.99474       60 6124.253 5937.933
1.9821882 7.464445 51.10156 19.39058 -0.30121 31/01/06 05:55:23 13.99584       60 6154.566 5968.492
1.9532563 7.464331 51.10188 19.35379 -0.28117 31/01/06 05:56:34 13.99692       60 6184.442 5998.598
1.9555974 7.464355 51.10150 19.31992 -0.26140 31/01/06 05:57:46 14.01554       60 6213.988 6028.338
1.9265838 7.464287 51.10079 19.28762 -0.24107 31/01/06 05:58:59 14.01773       60 6244.165 6058.683
1.9410981 7.464164 51.10064 19.25828 -0.22103 31/01/06 06:00:10 14.01881       60 6273.687 6088.323
1.7869756 7.464548 51.09685 19.60428 0.398735 31/01/06 06:37:17 14.05908       60 7116.902 6913.265
1.7808933 7.464450 51.09589 19.65450 0.418503 31/01/06 06:38:27 14.06016       60 7141.142 6936.190
1.7756916 7.464427 51.09648 19.70853 0.438828 31/01/06 06:39:41 14.06124       60 7165.772 6959.393
1.7408197 7.464371 51.09666 19.76416 0.458874 31/01/06 06:40:53 14.06234       60 7189.891 6982.058
1.7271100 7.464269 51.09644 19.82128 0.478642 31/01/06 06:42:03 14.06450       60 7213.488 7004.179
1.7596430 7.464159 51.09549 19.88149 0.498689 31/01/06 06:43:16 14.06557       60 7237.314 7026.469
1.7385120 7.464638 51.09540 19.94485 0.519013 31/01/06 06:44:29 14.06667       60 7261.778 7049.339
1.7462784 7.464546 51.09694 20.00960 0.539060 31/01/06 06:45:41 14.06774       60 7284.931 7070.811
1.7213570 7.464328 51.09565 20.07564 0.558828 31/01/06 06:46:51 14.06882       60 7307.790 7092.005
1.7251134 7.464451 51.09604 20.14576 0.579152 31/01/06 06:48:05 14.07098       60 7331.239 7113.680
1.6989216 7.464335 51.09590 20.21712 0.599199 31/01/06 06:49:17 14.07205       60 7353.992 7134.626
1.7151058 7.464198 51.09543 20.28960 0.618967 31/01/06 06:50:27 14.07313       60 7376.256 7155.063
1.7342879 7.464727 51.09691 20.36628 0.639291 31/01/06 06:51:40 14.07420       60 7399.371 7176.256
1.7132734 7.464480 51.09586 20.44403 0.659338 31/01/06 06:52:53 14.07529       60 7421.513 7196.444
1.6854188 7.464344 51.09533 20.52387 0.679384 31/01/06 06:54:04 14.07743       60 7443.500 7216.425
1.6930448 7.464310 51.09630 20.60460 0.699152 31/01/06 06:55:15 14.07849       60 7464.891 7235.765
1.6892789 7.465059 51.10056 22.64833 1.102582 31/01/06 07:19:24 14.12145       60 7859.686 7578.055
1.6956618 7.464476 51.09568 22.76921 1.122906 31/01/06 07:20:37 14.12251       60 7877.392 7592.560
1.6335954 7.464332 51.09500 22.88991 1.142953 31/01/06 07:21:50 14.12355       60 7894.411 7606.352
1.6567257 7.464218 51.09670 23.01037 1.162720 31/01/06 07:23:01 14.12459       60 7910.641 7619.314
1.6658931 7.465579 51.10165 23.67816 1.268519 31/01/06 07:29:21 14.13184       60 7995.987 7686.657
1.6548607 7.464547 51.09661 23.80889 1.288565 31/01/06 07:30:32 14.13287       60 8011.217 7698.214
1.6222646 7.464177 51.09637 23.93907 1.308333 31/01/06 07:31:43 14.13389       60 8025.842 7709.185
